Band1, Band2, Band3, Band4, isWater, lat, long
3588,13068,10239,8314,0,41.39638844571351,-83.00881848307276
2182,12894,9926,7661,0,41.39638844571351,-82.99240539005082
2225,12364,10094,8026,0,41.39638844571351,-82.97599229702888
4117,13729,10568,65528,0,41.37997535269157,-83.00881848307276
3191,12998,9996,65528,0,41.37997535269157,-82.99240539005082
3222,13451,10263,65528,0,41.37997535269157,-82.97599229702888
993,1481,774,270,1,41.92160742241565,-83.3370803435116
883,863,439,201,1,41.92160742241565,-83.32066725048966
868,826,386,193,1,41.92160742241565,-83.30425415746772
862,808,367,179,1,41.92160742241565,-83.28784106444579
861,794,357,161,1,41.92160742241565,-83.27142797142383
843,751,306,146,1,41.92160742241565,-83.2550148784019
845,752,283,148,1,41.92160742241565,-83.23860178537996
841,747,268,142,1,41.92160742241565,-83.222188692358
845,743,264,135,1,41.92160742241565,-83.20577559933606
845,743,264,135,1,41.92160742241565,-83.18936250631413
896,1033,498,215,1,41.90519432939371,-83.3370803435116
873,828,411,192,1,41.90519432939371,-83.32066725048966
863,785,349,65528,1,41.90519432939371,-83.30425415746772
855,770,329,65528,1,41.90519432939371,-83.28784106444579
844,759,320,65528,1,41.90519432939371,-83.27142797142383
844,748,298,65528,1,41.90519432939371,-83.2550148784019
845,743,281,65528,1,41.90519432939371,-83.23860178537996
845,743,281,65528,1,41.90519432939371,-83.222188692358
840,741,264,65528,1,41.90519432939371,-83.20577559933606
834,734,259,137,1,41.90519432939371,-83.18936250631413
889,810,381,174,1,41.88878123637176,-83.3370803435116
867,779,350,164,1,41.88878123637176,-83.32066725048966
868,771,327,168,1,41.88878123637176,-83.30425415746772
853,755,309,154,1,41.88878123637176,-83.28784106444579
837,743,308,148,1,41.88878123637176,-83.27142797142383
838,741,344,144,1,41.88878123637176,-83.2550148784019
842,742,327,140,1,41.88878123637176,-83.23860178537996
837,734,322,138,1,41.88878123637176,-83.222188692358
835,736,256,65528,1,41.88878123637176,-83.20577559933606
824,723,252,65528,1,41.88878123637176,-83.18936250631413
868,784,285,65528,1,41.87236814334982,-83.3370803435116
859,767,278,132,1,41.87236814334982,-83.32066725048966
854,757,269,126,1,41.87236814334982,-83.30425415746772
845,745,257,116,1,41.87236814334982,-83.28784106444579
828,728,251,65528,1,41.87236814334982,-83.27142797142383
829,731,252,65528,1,41.87236814334982,-83.2550148784019
834,729,251,65528,1,41.87236814334982,-83.23860178537996
830,728,250,65528,1,41.87236814334982,-83.222188692358
825,721,247,65528,1,41.87236814334982,-83.20577559933606
824,720,251,65528,1,41.87236814334982,-83.18936250631413
871,778,289,65528,1,41.85595505032788,-83.3370803435116
851,755,272,65528,1,41.85595505032788,-83.32066725048966
844,745,264,65528,1,41.85595505032788,-83.30425415746772
836,736,257,65528,1,41.85595505032788,-83.28784106444579
831,728,248,65528,1,41.85595505032788,-83.27142797142383
823,729,250,65528,1,41.85595505032788,-83.2550148784019
825,728,248,65528,1,41.85595505032788,-83.23860178537996
822,714,254,133,1,41.85595505032788,-83.222188692358
821,711,248,135,1,41.85595505032788,-83.20577559933606
821,711,248,135,1,41.85595505032788,-83.18936250631413
851,759,281,145,1,41.83954195730594,-83.3370803435116
853,753,268,145,1,41.83954195730594,-83.32066725048966
847,742,266,141,1,41.83954195730594,-83.30425415746772
847,733,253,137,1,41.83954195730594,-83.28784106444579
837,730,253,137,1,41.83954195730594,-83.27142797142383
830,721,251,137,1,41.83954195730594,-83.2550148784019
821,712,248,135,1,41.83954195730594,-83.23860178537996
821,712,248,135,1,41.83954195730594,-83.222188692358
821,707,246,125,1,41.83954195730594,-83.20577559933606
818,702,238,125,1,41.83954195730594,-83.18936250631413
860,763,289,145,1,41.823128864284,-83.3370803435116
886,758,271,140,1,41.823128864284,-83.32066725048966
875,750,264,142,1,41.823128864284,-83.30425415746772
842,735,261,136,1,41.823128864284,-83.28784106444579
833,725,254,133,1,41.823128864284,-83.27142797142383
833,725,254,133,1,41.823128864284,-83.2550148784019
831,720,251,130,1,41.823128864284,-83.23860178537996
824,714,245,65528,1,41.823128864284,-83.222188692358
820,711,245,65528,1,41.823128864284,-83.20577559933606
824,712,239,65528,1,41.823128864284,-83.18936250631413
847,750,276,65528,1,41.806715771262056,-83.3370803435116
855,749,270,65528,1,41.806715771262056,-83.32066725048966
864,746,266,65528,1,41.806715771262056,-83.30425415746772
864,746,266,65528,1,41.806715771262056,-83.28784106444579
839,732,253,133,1,41.806715771262056,-83.27142797142383
825,718,251,127,1,41.806715771262056,-83.2550148784019
824,715,248,125,1,41.806715771262056,-83.23860178537996
824,714,247,131,1,41.806715771262056,-83.222188692358
824,716,245,127,1,41.806715771262056,-83.20577559933606
822,715,245,129,1,41.806715771262056,-83.18936250631413
842,739,290,131,1,41.79030267824011,-83.3370803435116
842,739,290,131,1,41.79030267824011,-83.32066725048966
828,729,263,131,1,41.79030267824011,-83.30425415746772
834,731,257,139,1,41.79030267824011,-83.28784106444579
824,721,248,65528,1,41.79030267824011,-83.27142797142383
